location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
19700202T1900,5.7802453
19700202T2000,5.8502455
19700202T2100,7.130245
19700202T2200,7.5602455
19700202T2300,9.3102455
19700203T0000,9.460245
19700203T0100,9.680245
19700203T0200,9.670245
19700203T0300,9.650246
19700203T0400,9.320246
19700203T0500,9.240245
19700203T0600,9.580245
19700203T0700,9.690246
19700203T0800,9.760245
19700203T0900,9.660245
19700203T1000,9.710245
19700203T1100,9.510245
19700203T1200,9.410245
19700203T1300,9.120245
19700203T1400,9.200245
19700203T1500,9.010245
19700203T1600,8.370246
19700203T1700,8.3102455
19700203T1800,7.980245
19700203T1900,7.630245
19700203T2000,7.540245
19700203T2100,6.8702455
19700203T2200,7.000245
19700203T2300,6.0302453
19700204T0000,5.9302454
19700204T0100,4.940245
19700204T0200,4.710245
19700204T0300,3.9202452
19700204T0400,4.0302453
19700204T0500,4.0402455
19700204T0600,5.250245
19700204T0700,7.670245
19700204T0800,7.9702454
19700204T0900,8.740245
19700204T1000,8.400246
19700204T1100,9.910245
19700204T1200,9.450245
19700204T1300,9.450245
19700204T1400,9.440246
19700204T1500,9.850245
19700204T1600,9.610246
19700204T1700,9.650246
19700204T1800,8.620245
19700204T1900,8.430245
19700204T2000,8.520246
19700204T2100,7.540245
19700204T2200,7.420245
19700204T2300,5.8102455
19700205T0000,5.8102455
19700205T0100,5.4302454
19700205T0200,5.3902454
19700205T0300,5.110245
19700205T0400,4.5602455
19700205T0500,4.2902455
19700205T0600,4.1202455
19700205T0700,4.0102453
19700205T0800,3.6802454
19700205T0900,4.1602454
19700205T1000,4.4102454
19700205T1100,5.5702453
19700205T1200,5.730245
19700205T1300,5.860245
19700205T1400,5.8102455
19700205T1500,5.5902452
19700205T1600,5.900245
19700205T1700,5.8002453
19700205T1800,4.900245
19700205T1900,4.8702455
19700205T2000,5.0302453
19700205T2100,4.8202453
19700205T2200,5.480245
19700205T2300,4.670245
19700206T0000,4.730245
19700206T0100,4.9502454
19700206T0200,5.170245
19700206T0300,5.5102453
19700206T0400,5.040245
19700206T0500,4.940245
19700206T0600,4.650245
19700206T0700,4.3702455
19700206T0800,4.5102453
19700206T0900,3.5802455
19700206T1000,3.2602453
19700206T1100,5.2402453
19700206T1200,4.9102454
19700206T1300,5.2202454
19700206T1400,5.2602453
19700206T1500,5.4102454
19700206T1600,4.750245
19700206T1700,4.5502453
19700206T1800,3.8902454
19700206T1900,1.5102453
19700206T2000,1.9202454
19700206T2100,0.7002454
19700206T2200,0.6302454
19700206T2300,0.040245414
19700207T0000,0.070245415
19700207T0100,0.060245395
19700207T0200,-0.24975461
19700207T0300,-0.9497546
19700207T0400,-1.0097545
19700207T0500,-0.6797546
19700207T0600,-0.2697546
19700207T0700,0.2902454
19700207T0800,0.3002454
19700207T0900,1.3202454
19700207T1000,1.3902454
19700207T1100,3.7702456
19700207T1200,4.0302453
19700207T1300,4.5602455
19700207T1400,4.750245
19700207T1500,5.3702455
19700207T1600,5.400245
19700207T1700,5.6002455
19700207T1800,5.2402453
19700207T1900,4.9502454
19700207T2000,5.210245
19700207T2100,5.6002455
19700207T2200,6.130245
19700207T2300,6.110245
19700208T0000,6.230245
19700208T0100,6.6002455
19700208T0200,6.520245
19700208T0300,5.3702455
19700208T0400,4.7002454
19700208T0500,4.8702455
19700208T0600,5.0902452
19700208T0700,5.2402453
19700208T0800,5.5802455
19700208T0900,5.8302455
19700208T1000,6.000245
19700208T1100,6.4902453
19700208T1200,6.2802453
19700208T1300,6.1202455
19700208T1400,6.2202454
19700208T1500,6.2802453
19700208T1600,6.2402453
19700208T1700,6.540245
19700208T1800,6.4102454
19700208T1900,6.440245
19700208T2000,6.250245
19700208T2100,6.440245
19700208T2200,5.900245
19700208T2300,6.3402452
19700209T0000,6.210245
19700209T0100,6.5102453
19700209T0200,6.8302455
19700209T0300,7.360245
19700209T0400,7.3202453
19700209T0500,7.0702453
19700209T0600,7.150245
19700209T0700,7.230245
19700209T0800,7.190245
19700209T0900,7.3002453
19700209T1000,6.8002453
19700209T1100,7.710245
19700209T1200,7.670245
19700209T1300,7.7402453
19700209T1400,8.180245
19700209T1500,8.170245
19700209T1600,7.3202453
19700209T1700,7.3702455
19700209T1800,6.8502455
19700209T1900,6.980245
19700209T2000,6.960245
19700209T2100,5.5702453
19700209T2200,5.2402453
19700209T2300,4.9902453
19700210T0000,5.0502453
19700210T0100,4.9702454
19700210T0200,4.9902453
19700210T0300,4.130245
19700210T0400,3.7702456
19700210T0500,3.4002452
19700210T0600,3.2702456
19700210T0700,3.0102453
19700210T0800,3.0302453
19700210T0900,3.0902452
19700210T1000,2.8802452
19700210T1100,3.5602455
19700210T1200,3.4902453
19700210T1300,3.6502452
19700210T1400,3.8202453
19700210T1500,3.2402453
19700210T1600,3.5502453
19700210T1700,3.3502455
19700210T1800,3.1502452
19700210T1900,2.6202455
19700210T2000,2.6902456
19700210T2100,2.3702455
19700210T2200,2.6502452
19700210T2300,2.4102454
19700211T0000,2.4502454
19700211T0100,2.3702455
19700211T0200,2.3302455
19700211T0300,1.6402454
19700211T0400,1.3202454
19700211T0500,1.2202454
19700211T0600,1.4302454
19700211T0700,1.4002454
19700211T0800,1.3302454
19700211T0900,1.1402454
19700211T1000,0.9202454
19700211T1100,2.1902454
19700211T1200,2.2502456
19700211T1300,2.2902455
19700211T1400,2.0102453
19700211T1500,2.5602455
19700211T1600,2.0602455
19700211T1700,1.9702454
19700211T1800,1.6002454
19700211T1900,-0.3697546
19700211T2000,-0.4397546
19700211T2100,-1.4397546
19700211T2200,-0.9197546
19700211T2300,-2.2897544
19700212T0000,-2.5797548
19700212T0100,-3.1397548
19700212T0200,-3.3697548
19700212T0300,-4.059755
19700212T0400,-4.3997545
19700212T0500,-4.309755
19700212T0600,-3.5597548
19700212T0700,-3.2297544
19700212T0800,-3.3797545
19700212T0900,-2.9097548
19700212T1000,-1.8097545
19700212T1100,-0.47975457
19700212T1200,-1.1197546
19700212T1300,-0.8397546
19700212T1400,-1.0297546
19700212T1500,0.8702454
19700212T1600,3.3602452
19700212T1700,4.400245
19700212T1800,6.4102454
19700212T1900,6.8302455
19700212T2000,6.610245
19700212T2100,6.3202453
19700212T2200,6.4502454
19700212T2300,5.670245
19700213T0000,5.6802454
19700213T0100,5.3402452
19700213T0200,5.250245
